idCommune;nomCommune;Annee;nbMaison;nbAppart;prixMoyen;prixM2Moyen;surfaceMoy;depCulturellesTotales;budgetTotal;population;departement;gare
22059;LE FŒIL;2021;17;0;155312.0;1448.35;112.824;-1.0;-1.0;-1;22;null;
22060;GAUSSON;2018;4;0;68625.0;817.75;79.0;-1.0;-1.0;-1;22;null;
22060;GAUSSON;2019;9;0;136344.0;1191.11;112.889;-1.0;-1.0;-1;22;null;
22060;GAUSSON;2020;10;0;85915.0;1092.9;83.9;-1.0;-1.0;-1;22;null;
22060;GAUSSON;2021;12;0;82383.3;1004.58;79.5833;-1.0;-1.0;-1;22;null;
22061;GLOMEL;2018;22;0;100454.0;1181.32;89.6818;-1.0;-1.0;-1;22;null;
22061;GLOMEL;2019;24;0;81800.8;1030.0;84.0417;-1.0;-1.0;-1;22;null;
22061;GLOMEL;2020;25;0;81029.6;1097.12;82.52;-1.0;-1.0;-1;22;null;
22061;GLOMEL;2021;42;0;82453.0;1033.86;82.881;-1.0;-1.0;-1;22;null;
22062;GOMENE;2018;7;0;89285.7;1007.57;92.8571;-1.0;-1.0;-1;22;null;
22062;GOMENE;2019;6;0;98950.0;1026.5;91.0;-1.0;-1.0;-1;22;null;
22062;GOMENE;2020;10;0;90700.0;914.2;99.6;-1.0;-1.0;-1;22;null;
22062;GOMENE;2021;18;0;96249.9;1213.89;89.5556;-1.0;-1.0;-1;22;null;
22063;GOMMENEC'H;2018;5;0;125717.0;1088.4;113.2;-1.0;-1.0;-1;22;null;
22063;GOMMENEC'H;2019;18;0;89099.7;962.444;93.2222;-1.0;-1.0;-1;22;null;
22063;GOMMENEC'H;2020;8;0;103178.0;1380.62;77.5;-1.0;-1.0;-1;22;null;
22063;GOMMENEC'H;2021;13;0;131933.0;1314.62;98.5385;-1.0;-1.0;-1;22;null;
22064;GOUAREC;2018;5;1;89500.0;1061.67;108.333;-1.0;-1.0;-1;22;null;
22064;GOUAREC;2019;23;0;76667.1;920.435;89.5652;-1.0;-1.0;-1;22;null;
22064;GOUAREC;2020;14;0;77263.4;918.643;84.3571;-1.0;-1.0;-1;22;null;
22064;GOUAREC;2021;18;0;108246.0;940.5;117.167;-1.0;-1.0;-1;22;null;
22065;GOUDELIN;2018;15;0;123203.0;1111.07;105.267;-1.0;-1.0;-1;22;null;
22065;GOUDELIN;2019;19;1;145390.0;1278.65;115.25;-1.0;-1.0;-1;22;null;
22065;GOUDELIN;2020;34;0;142966.0;1462.09;102.5;-1.0;-1.0;-1;22;null;
22065;GOUDELIN;2021;34;0;140246.0;1434.56;99.5882;-1.0;-1.0;-1;22;null;
22067;GRACES;2018;39;0;120400.0;1219.18;99.5897;-1.0;-1.0;-1;22;null;
22067;GRACES;2019;44;0;122157.0;1305.89;98.0227;-1.0;-1.0;-1;22;null;
22067;GRACES;2020;39;0;133598.0;1375.1;98.3333;-1.0;-1.0;-1;22;null;
22067;GRACES;2021;54;0;130410.0;1370.93;97.5185;-1.0;-1.0;-1;22;null;
22068;GRACE-UZEL;2018;1;0;93000.0;1177.0;79.0;-1.0;-1.0;-1;22;null;
22068;GRACE-UZEL;2019;8;0;73125.0;774.125;94.5;-1.0;-1.0;-1;22;null;
22068;GRACE-UZEL;2020;6;0;108167.0;1000.17;98.8333;-1.0;-1.0;-1;22;null;
22068;GRACE-UZEL;2021;9;0;131111.0;1063.0;120.111;-1.0;-1.0;-1;22;null;
22069;GUENROC;2018;5;0;130700.0;1116.2;113.0;-1.0;-1.0;-1;22;null;
22069;GUENROC;2019;6;0;156417.0;1245.33;132.167;-1.0;-1.0;-1;22;null;
22069;GUENROC;2020;5;0;176117.0;1249.0;133.2;-1.0;-1.0;-1;22;null;
22069;GUENROC;2021;5;0;174900.0;1384.0;128.4;-1.0;-1.0;-1;22;null;
22070;GUINGAMP;2018;73;29;96261.2;1156.24;87.6863;-1.0;-1.0;-1;22;Gare [codeGare=87473207, nomGare=GUINGAMP, estFret=true, estVoyageur=truecommune22070];
22070;GUINGAMP;2019;60;52;94137.3;1164.82;84.0268;1981.0;10845.0;7022;22;Gare [codeGare=87473207, nomGare=GUINGAMP, estFret=true, estVoyageur=truecommune22070];
22070;GUINGAMP;2020;60;62;84948.3;1157.44;77.5082;2481.0;0.0;7561;22;Gare [codeGare=87473207, nomGare=GUINGAMP, estFret=true, estVoyageur=truecommune22070];
